period,underlying_asset,avg_weight,avg_weight_prev,d_avg_weight
2024-06-30,Warrants/Rights,3.0607593124229324e-05,2.747727876140199e-05,3.130314362827333e-06
2024-09-30,Commodity (ETF),0.0007363306515828385,0.000740190715299975,-3.8600637171365545e-06
2024-09-30,Debt,0.01107513669728162,0.007285025017695113,0.0037901116795865074
2024-09-30,Equity,0.8315421344413171,0.8545156890817318,-0.02297355464041473
2024-09-30,Equity (ETF),0.02224255086339564,0.021334259803020953,0.0009082910603746865
2024-09-30,Fixed Income (ETF),0.001277489614290054,0.0013539766632140486,-7.64870489239945e-05
2024-09-30,Options,0.12098616251896686,0.10216681565506565,0.018819346863901215
2024-09-30,Preferred,0.012103344522855029,0.012573435470848226,-0.00047009094799319723
2024-09-30,Warrants/Rights,3.685069031078451e-05,3.0607593124229324e-05,6.2430971865551845e-06
2024-12-31,Commodity (ETF),0.0008741077337665433,0.0007363306515828385,0.0001377770821837049
2024-12-31,Debt,0.011060284088955503,0.01107513669728162,-1.4852608326117872e-05
2024-12-31,Equity,0.8426736603934124,0.8315421344413171,0.011131525952095322
2024-12-31,Equity (ETF),0.0264612917721767,0.02224255086339564,0.004218740908781059
2024-12-31,Fixed Income (ETF),0.0013367790051529486,0.001277489614290054,5.928939086289448e-05
2024-12-31,Options,0.10653600816550139,0.12098616251896686,-0.014450154353465472
2024-12-31,Preferred,0.011028722882099688,0.012103344522855029,-0.0010746216407553407
2024-12-31,Warrants/Rights,2.9145958934844596e-05,3.685069031078451e-05,-7.704731375939913e-06
2025-03-31,Commodity (ETF),0.0012604253984161162,0.0008741077337665433,0.00038631766464957285
2025-03-31,Debt,0.00754339011144658,0.011060284088955503,-0.003516893977508923
2025-03-31,Equity,0.8259679785516408,0.8426736603934124,-0.01670568184177157
2025-03-31,Equity (ETF),0.026861669894568636,0.0264612917721767,0.0004003781223919367
2025-03-31,Fixed Income (ETF),0.0013588837369102008,0.0013367790051529486,2.2104731757252236e-05
2025-03-31,Options,0.1256527195111195,0.10653600816550139,0.019116711345618112
2025-03-31,Preferred,0.011318565320153715,0.011028722882099688,0.0002898424380540273
