period,sector,weight_ew,weight_ew_prev,d_qoq,weight_ew_4q,d_yoy,avg_trailing,d_vs_avg,hist_percentile,hist_min,hist_max,weight_bench,active_weight,active_weight_prev,d_active_qoq,overweight_breadth,n_active_managers,n_index_managers,benchmark_name,net_flow,gross_flow,price_effect,n_buyers,n_sellers
2012-03-31,Information Technology,0.12116479605617347,0.10554809593472449,0.015616700121448987,,,,,,,,0.14716942472756708,-0.02600462867139361,-0.03177986666644238,0.005775237995048768,0.3488372093023256,43,3,"Índice implícito (managers índice, ponderado por valor)",-53408314.24710586,11341421436.708256,18243103314.247105,69,64
2012-03-31,Materials,0.05495543578231937,0.05918297866201655,-0.004227542879697177,,,,,,,,0.05448482237586187,0.00047061340645750127,0.0045531906798877905,-0.004082577273430289,0.37209302325581395,43,3,"Índice implícito (managers índice, ponderado por valor)",-1450573845.599826,3454130306.444801,4171471845.5998263,17,31
2012-03-31,Real Estate,0.02450030574084294,0.02347701690350782,0.0010232888373351186,,,,,,,,0.03356741122725603,-0.009067105486413093,-0.008844885933658155,-0.00022221955275493824,0.23255813953488372,43,3,"Índice implícito (managers índice, ponderado por valor)",580750269.3534839,1679482807.1248052,2219165730.6465163,15,14
2012-03-31,Utilities,0.00822727422638206,0.00822176574034595,5.508486036110219e-06,,,,,,,,0.018737577789798975,-0.010510303563416914,-0.012299199792494296,0.001788896229077382,0.06976744186046512,43,3,"Índice implícito (managers índice, ponderado por valor)",-400647068.4298389,1062415887.5586077,196664068.4298389,7,9
2012-06-30,Communication Services,0.06109155565707041,0.05705461675347149,0.004036938903598922,,,,,1.0,0.04955093215302272,0.06109155565707041,0.06454369441065676,-0.0034521387535863465,0.001793567172650043,-0.0052457059262363895,0.3488372093023256,43,3,"Índice implícito (managers índice, ponderado por valor)",6889581235.167891,8710144019.733644,-235292235.16789034,44,25
2012-06-30,Consumer Discretionary,0.1512970399122098,0.15105736202658107,0.00023967788562873071,,,,,0.75,0.1479395545464454,0.1514181079664969,0.14632477203139835,0.004972267880811454,0.004893889437291771,7.837844351968326e-05,0.37209302325581395,43,3,"Índice implícito (managers índice, ponderado por valor)",393451583.3352954,11746714519.578436,-443425583.3352956,69,67
2012-06-30,Consumer Staples,0.089854543606453,0.09525722106942859,-0.005402677462975597,,,,,0.25,0.089854543606453,0.1152949946693621,0.06580248045396728,0.024052063152485717,0.025839227467783193,-0.0017871643152974764,0.3488372093023256,43,3,"Índice implícito (managers índice, ponderado por valor)",-2005434060.2921803,7078616181.39132,-1774062939.7078197,31,48
2012-06-30,Energy,0.08126954732621366,0.07825931712580565,0.0030102302004080123,,,,,0.75,0.07825931712580565,0.08498374345118218,0.08613673978949339,-0.004867192463279726,0.004887617167442487,-0.009754809630722214,0.13953488372093023,43,3,"Índice implícito (managers índice, ponderado por valor)",6756101694.3585205,9547317206.770874,-1695481694.3585203,45,26
2012-06-30,Financials,0.19219314572269564,0.19234505279459138,-0.00015190707189574604,,,,,0.5,0.17987727905775533,0.19309534377062607,0.16482937798149225,0.027363767741203388,0.020255154090997346,0.0071086136502060415,0.6046511627906976,43,3,"Índice implícito (managers índice, ponderado por valor)",2910995794.6684823,15399327175.268341,-6104062794.668483,109,89
2012-06-30,Health Care,0.1285725798450608,0.13212208497523262,-0.003549505130171826,,,,,0.25,0.1285725798450608,0.1367195180022354,0.12126150271764695,0.0073110771274138425,0.008585143003012205,-0.0012740658755983625,0.4883720930232558,43,3,"Índice implícito (managers índice, ponderado por valor)",346115217.61236966,9636799626.159502,-1473007217.6123698,66,84
