period,sector,value_usd,share,share_prev,d_share,value_prev,d_value
2012-12-31,Consumer Discretionary,405123709000.0,0.12117020088615373,0.12676543610741273,-0.005595235221259001,410763195000.0,-5639486000.0
2012-12-31,Consumer Staples,218148697000.0,0.06524703652568178,0.059283576958619424,0.00596345956706236,192098984000.0,26049713000.0
2012-12-31,ETF - Broad Equity,101834125000.0,0.030458008527256275,0.02947801464867284,0.0009799938785834336,95518809000.0,6315316000.0
2012-12-31,ETF - Commodity,48731098000.0,0.014575194694573761,0.01533112578045016,-0.0007559310858763994,49678070000.0,-946972000.0
2012-12-31,ETF - Fixed Income,56347569000.0,0.016853237920904818,0.017221499871042108,-0.00036826195013728996,55803526000.0,544043000.0
2012-12-31,ETF - International Equity,41594672000.0,0.012440730201829963,0.01244918742177491,-8.45721994494758e-06,40339608000.0,1255064000.0
2012-12-31,ETF - Sector,84630597000.0,0.025312530991873198,0.025620938689919746,-0.0003084076980465478,83020569000.0,1610028000.0
2012-12-31,Energy,252117043000.0,0.07540677592664184,0.07740887933712907,-0.0020021034104872326,250831138000.0,1285905000.0
2012-12-31,Financials,536537111000.0,0.16047520319958997,0.16373151996184648,-0.003256316762256517,530545899000.0,5991212000.0
2012-12-31,Health Care,373229772000.0,0.11163090543766066,0.11193858014887814,-0.0003076747112174816,362719131000.0,10510641000.0
2012-12-31,Industrials,285058651000.0,0.08525942382208489,0.08316919747800157,0.002090226344083318,269496531000.0,15562120000.0
2012-12-31,Information Technology,447354384000.0,0.13380115597377085,0.13016343378922743,0.0036377221845434182,421773865000.0,25580519000.0
2012-12-31,Materials,159659941000.0,0.04775338173170569,0.04778341414163263,-3.0032409926945836e-05,154834539000.0,4825402000.0
2012-12-31,Real Estate,82699505000.0,0.02473495234028743,0.025371997578976763,-0.0006370452386893315,82213915000.0,485590000.0
2012-12-31,Utilities,48297552000.0,0.014445523547844136,0.014060468633229146,0.00038505491461499064,45560708000.0,2736844000.0
2013-03-31,Communication Services,207479986000.0,0.05583052568194304,0.060435738272141,-0.004605212590197957,202062473000.0,5417513000.0
2013-03-31,Consumer Discretionary,449256520000.0,0.1208898658670642,0.12117020088615373,-0.0002803350190895282,405123709000.0,44132811000.0
2013-03-31,Consumer Staples,235705305000.0,0.06342564089132297,0.06524703652568178,-0.001821395634358819,218148697000.0,17556608000.0
2013-03-31,ETF - Broad Equity,116052827000.0,0.031228507689824082,0.030458008527256275,0.0007704991625678073,101834125000.0,14218702000.0
2013-03-31,ETF - Commodity,48783774000.0,0.013127163731200103,0.014575194694573761,-0.001448030963373658,48731098000.0,52676000.0
2013-03-31,ETF - Fixed Income,60039633000.0,0.01615598852094069,0.016853237920904818,-0.0006972493999641283,56347569000.0,3692064000.0
2013-03-31,ETF - International Equity,39637445000.0,0.010665989687502219,0.012440730201829963,-0.001774740514327744,41594672000.0,-1957227000.0
2013-03-31,ETF - Sector,91127497000.0,0.02452138232547253,0.025312530991873198,-0.0007911486664006692,84630597000.0,6496900000.0
2013-03-31,Energy,282572060000.0,0.07603695641674832,0.07540677592664184,0.0006301804901064773,252117043000.0,30455017000.0
2013-03-31,Financials,598751616000.0,0.1611173112099251,0.16047520319958997,0.000642108010335124,536537111000.0,62214505000.0
2013-03-31,Health Care,429396231000.0,0.11554568594666788,0.11163090543766066,0.003914780509007218,373229772000.0,56166459000.0
2013-03-31,Industrials,322348395000.0,0.08674031983779207,0.08525942382208489,0.001480896015707181,285058651000.0,37289744000.0
2013-03-31,Information Technology,513516164000.0,0.13818141178347138,0.13380115597377085,0.004380255809700528,447354384000.0,66161780000.0
2013-03-31,Materials,173784934000.0,0.04676356697277672,0.04775338173170569,-0.0009898147589289669,159659941000.0,14124993000.0
2013-03-31,Real Estate,93774076000.0,0.025233546904222744,0.02473495234028743,0.0004985945639353132,82699505000.0,11074571000.0
2013-03-31,Utilities,54019864000.0,0.014536136533125996,0.014445523547844136,9.06129852818599e-05,48297552000.0,5722312000.0
2013-06-30,Communication Services,246560116000.0,0.06329102400019708,0.05583052568194304,0.007460498318254037,207479986000.0,39080130000.0
2013-06-30,Consumer Discretionary,452674878000.0,0.11619988274090642,0.1208898658670642,-0.0046899831261577735,449256520000.0,3418358000.0
2013-06-30,Consumer Staples,245980468000.0,0.0631422306102732,0.06342564089132297,-0.0002834102810497646,235705305000.0,10275163000.0
2013-06-30,ETF - Broad Equity,126806208000.0,0.032550661007565325,0.031228507689824082,0.0013221533177412426,116052827000.0,10753381000.0
2013-06-30,ETF - Commodity,51970214000.0,0.013340552052503814,0.013127163731200103,0.0002133883213037112,48783774000.0,3186440000.0
2013-06-30,ETF - Fixed Income,62065312000.0,0.01593192449411291,0.01615598852094069,-0.0002240640268277791,60039633000.0,2025679000.0
2013-06-30,ETF - International Equity,40069008000.0,0.0102855587032255,0.010665989687502219,-0.00038043098427671847,39637445000.0,431563000.0
2013-06-30,ETF - Sector,96783211000.0,0.024843874303730206,0.02452138232547253,0.0003224919782576774,91127497000.0,5655714000.0
2013-06-30,Energy,278549779000.0,0.07150264622660461,0.07603695641674832,-0.004534310190143706,282572060000.0,-4022281000.0
2013-06-30,Financials,609851316000.0,0.15654646381456025,0.1611173112099251,-0.004570847395364841,598751616000.0,11099700000.0
2013-06-30,Health Care,450705829000.0,0.11569443551149093,0.11554568594666788,0.00014874956482305302,429396231000.0,21309598000.0
2013-06-30,Industrials,337863085000.0,0.08672814147084368,0.08674031983779207,-1.2178366948389918e-05,322348395000.0,15514690000.0
2013-06-30,Information Technology,554433578000.0,0.1423209457433624,0.13818141178347138,0.004139533959891029,513516164000.0,40917414000.0
2013-06-30,Materials,181329165000.0,0.0465464922718916,0.04676356697277672,-0.00021707470088511843,173784934000.0,7544231000.0
2013-06-30,Real Estate,103846793000.0,0.02665706836423819,0.025233546904222744,0.0014235214600154464,93774076000.0,10072717000.0
2013-06-30,Utilities,56167966000.0,0.014418098684493862,0.014536136533125996,-0.0001180378486321347,54019864000.0,2148102000.0
2013-09-30,Communication Services,263118508000.0,0.06276146245962338,0.06329102400019708,-0.0005295615405736948,246560116000.0,16558392000.0
2013-09-30,Consumer Discretionary,480407756000.0,0.11459130554018614,0.11619988274090642,-0.0016085772007202875,452674878000.0,27732878000.0
2013-09-30,Consumer Staples,259463557000.0,0.061889649709840455,0.0631422306102732,-0.0012525809004327454,245980468000.0,13483089000.0
2013-09-30,ETF - Broad Equity,153153286000.0,0.036531539658384515,0.032550661007565325,0.00398087865081919,126806208000.0,26347078000.0
2013-09-30,ETF - Commodity,64580429000.0,0.015404321805860474,0.013340552052503814,0.00206376975335666,51970214000.0,12610215000.0
2013-09-30,ETF - Fixed Income,75627042000.0,0.018039262207337238,0.01593192449411291,0.0021073377132243276,62065312000.0,13561730000.0
2013-09-30,ETF - International Equity,57557104000.0,0.013729053305443033,0.0102855587032255,0.003443494602217533,40069008000.0,17488096000.0
2013-09-30,ETF - Sector,123231554000.0,0.02939433112858808,0.024843874303730206,0.004550456824857874,96783211000.0,26448343000.0
2013-09-30,Energy,290953693000.0,0.06940096848188379,0.07150264622660461,-0.002101677744720823,278549779000.0,12403914000.0
2013-09-30,Financials,634951572000.0,0.15145452728759337,0.15654646381456025,-0.005091936526966878,609851316000.0,25100256000.0
2013-09-30,Health Care,475096469000.0,0.11332440819344843,0.11569443551149093,-0.0023700273180425058,450705829000.0,24390640000.0
2013-09-30,Industrials,358925725000.0,0.08561428683451111,0.08672814147084368,-0.0011138546363325674,337863085000.0,21062640000.0
2013-09-30,Information Technology,572393078000.0,0.13653249613685586,0.1423209457433624,-0.0057884496065065405,554433578000.0,17959500000.0
2013-09-30,Materials,203276950000.0,0.04848750003679612,0.0465464922718916,0.0019410077649045163,181329165000.0,21947785000.0
2013-09-30,Real Estate,117924199000.0,0.02812837167889253,0.02665706836423819,0.001471303314654341,103846793000.0,14077406000.0
2013-09-30,Utilities,61696899000.0,0.014716515534755448,0.014418098684493862,0.0002984168502615861,56167966000.0,5528933000.0
2013-12-31,Communication Services,300300685000.0,0.06370392402869192,0.06276146245962338,0.000942461569068534,263118508000.0,37182177000.0
2013-12-31,Consumer Discretionary,585019957000.0,0.12410250378215625,0.11459130554018614,0.009511198241970109,480407756000.0,104612201000.0
2013-12-31,Consumer Staples,267802867000.0,0.05681003855863294,0.061889649709840455,-0.0050796111512075165,259463557000.0,8339310000.0
2013-12-31,ETF - Broad Equity,162548187000.0,0.03448196382119344,0.036531539658384515,-0.0020495758371910783,153153286000.0,9394901000.0
2013-12-31,ETF - Commodity,67862348000.0,0.014395897436599763,0.015404321805860474,-0.0010084243692607114,64580429000.0,3281919000.0
2013-12-31,ETF - Fixed Income,74347524000.0,0.01577162243441885,0.018039262207337238,-0.0022676397729183874,75627042000.0,-1279518000.0
2013-12-31,ETF - International Equity,62968883000.0,0.013357828134170222,0.013729053305443033,-0.00037122517127281124,57557104000.0,5411779000.0
2013-12-31,ETF - Sector,136445597000.0,0.028944722338337368,0.02939433112858808,-0.00044960879025071274,123231554000.0,13214043000.0
2013-12-31,Energy,334784540000.0,0.07101911506509075,0.06940096848188379,0.0016181465832069558,290953693000.0,43830847000.0
2013-12-31,Financials,706964122000.0,0.1499709823136064,0.15145452728759337,-0.0014835449739869777,634951572000.0,72012550000.0
2013-12-31,Health Care,517558605000.0,0.10979167114892117,0.11332440819344843,-0.003532737044527251,475096469000.0,42462136000.0
2013-12-31,Industrials,417398184000.0,0.08854426090719696,0.08561428683451111,0.0029299740726858453,358925725000.0,58472459000.0
