period,sector,manager_type,value_usd,share,share_prev,d_share,value_prev,d_value
2022-06-30,ETF - Broad Equity,Hedge Fund - Activist,157661000.0,0.1363565208291351,0.10169845504473736,0.03465806578439774,157285000.0,376000.0
2022-06-30,ETF - Commodity,Asset Manager - Index/Active,657735000.0,0.00021099105476423714,0.0002333740668074744,-2.2383012043237263e-05,866293000.0,-208558000.0
2022-06-30,ETF - Commodity,Hedge Fund - Value,75377000.0,0.058607560194101536,0.04422072364303429,0.014386836551067247,69594000.0,5783000.0
2022-06-30,ETF - Fixed Income,Asset Manager - Index/Active,11009412000.0,0.0035316464080732356,0.0032156795187864256,0.00031596688928681,11936719000.0,-927307000.0
2022-06-30,ETF - International Equity,Asset Manager - Index/Active,14138535000.0,0.004535419906909445,0.004090337998820436,0.00044508190808900845,15183483000.0,-1044948000.0
2022-06-30,ETF - Sector,Asset Manager - Index/Active,2215416000.0,0.0007106706478772868,0.0005094742786602536,0.0002011963692170332,1891187000.0,324229000.0
2022-06-30,ETF - Sector,Hedge Fund - Value,1051000.0,0.0008171795874603754,0.0007135654316626074,0.00010361415579776794,1123000.0,-72000.0
2022-06-30,Energy,Asset Manager - Index/Active,134893022000.0,0.04327156224332816,0.0382202009239636,0.00505136131936456,141874772000.0,-6981750000.0
2022-06-30,Energy,Hedge Fund - Value,182768000.0,0.14210683048616354,0.1474780259336238,-0.0053711954474602586,232099000.0,-49331000.0
2022-06-30,Financials,Asset Manager - Index/Active,317175382000.0,0.10174487961478383,0.1042611472674329,-0.0025162676526490624,387021160000.0,-69845778000.0
2022-06-30,Financials,Hedge Fund - Value,209774000.0,0.1631046915127619,0.16925606832436663,-0.006151376811604714,266373000.0,-56599000.0
2022-06-30,Health Care,Asset Manager - Index/Active,345729229000.0,0.11090450514194393,0.0961120932668646,0.014792411875079334,356771576000.0,-11042347000.0
2022-06-30,Health Care,Hedge Fund - Activist,159808000.0,0.1382134001475471,0.12212802166325484,0.016085378484292256,188881000.0,-29073000.0
2022-06-30,Health Care,Hedge Fund - Value,38796000.0,0.030164889890687652,0.05673131116218395,-0.0265664212714963,89283000.0,-50487000.0
2022-06-30,Industrials,Asset Manager - Index/Active,85419518000.0,0.027401239405342184,0.027774651042283403,-0.0003734116369412191,103100512000.0,-17680994000.0
2022-06-30,Information Technology,Asset Manager - Index/Active,484545074000.0,0.15543444737481713,0.1668892667726489,-0.011454819397831772,619499011000.0,-134953937000.0
2022-06-30,Materials,Asset Manager - Index/Active,37444220000.0,0.012011517514841303,0.012175639658917254,-0.00016412214407595174,45196416000.0,-7752196000.0
