period,underlying_asset,value_usd,share,share_prev,d_share,value_prev,d_value
2026-03-31,Preferred,8392880131.0,0.0009343872121258284,0.0005572834489262145,0.0003771037631996139,8992312922.0,-599432791.0
2026-03-31,Warrants/Rights,52567980.0,5.852442488468361e-06,1.195915127022804e-06,4.656527361445557e-06,19297259.0,33270721.0
2026-06-30,Commodity (ETF),3666719206.0,0.00033714981672820505,0.0005778994634606973,-0.00024074964673249228,5190825454.0,-1524106248.0
2026-06-30,Debt,36414575660.0,0.0033482704347566985,0.004093130598914606,-0.0007448601641579073,36765437317.0,-350861657.0
2026-06-30,Equity,8384473976053.0,0.770940916272789,0.8015022354472038,-0.030561319174414736,7199276808950.0,1185197167103.0
2026-06-30,Equity (ETF),253123627147.0,0.023274371367882036,0.02043598116087689,0.0028383902070051453,183560667373.0,69562959774.0
2026-06-30,Fixed Income (ETF),11171752797.0,0.0010272273922360888,0.0011235830562819613,-9.635566404587255e-05,10092280573.0,1079472224.0
2026-06-30,Options,2175542908205.0,0.20003819533970116,0.17132693061864782,0.028711264721053342,1538897764475.0,636645143730.0
2026-06-30,Preferred,11217613336.0,0.0010314442060825393,0.0009343872121258284,9.705699395671098e-05,8392880131.0,2824733205.0
2026-06-30,Warrants/Rights,26375268.0,2.4251698242413196e-06,5.852442488468361e-06,-3.4272726642270414e-06,52567980.0,-26192712.0
